step	acc
429	0.9190363883972168
859	0.9686909317970276
1289	0.977436363697052
1719	0.9819818139076233
2149	0.9854727387428284
2579	0.9883454442024231
3009	0.9882181882858276
3439	0.9911272525787354
3869	0.9923454523086548
4299	0.9923454523086548
