step	loss
429	0.3327687084674835
859	0.10532008856534958
1289	0.0732126533985138
1719	0.0573250912129879
2149	0.046568773686885834
2579	0.03786095604300499
3009	0.03498042747378349
3439	0.02703387662768364
3869	0.023829378187656403
4299	0.02159125544130802
